ACG 2021, Principles of Financial Accounting
ACG 2071, Principles of Managerial Accounting
ACG 3074, Managerial Accounting for Non-Business Majors
ACG 3103, Intermediate Financial Accounting I
ACG 3113, Intermediate Financial Accounting II
ACG 3341, Cost Accounting and Control I
ACG 3401, Accounting Information Systems
ACG 4123, Intermediate Financial Accounting III
ACG 4351, Cost Accounting and Control II
ACG 4632, Auditing I
ACG 4642, Auditing II
ACG 4684, Fraud Examinations
ACG 4901, Independent Study
ACG 4911, Independent Research
ACG 4912, Undergraduate Research
ACG 4931, Selected Topics in Accounting
ACG 4940, Accounting Internship
ACG 4970, Accounting Honors Thesis
ADV 2214, Graphic Programs in Mass Communications
ADV 3008, Introduction to Advertising
ADV 3101, Advertising Creativity
ADV 3300, Advertising Media Strategy
ADV 3500, Advertising Research
ADV 4204, Advanced Advertising Creativity
ADV 4301, Advanced Media Strategy
ADV 4310, Digital Media
ADV 4600, Advertising Management
ADV 4710, Portfolio Building
ADV 4800, Advertising Campaigns
AFA 2000, Introduction to the Black Experience
AFA 2380, History and Theory of Genocide
AFA 3110, Key Issues in Black Thought
AFA 4335, Black Women in America
AFA 4350, African American Community Research
AFA 4430, Afro-Diasporic Literature and Political Movements
AFA 4713, Haiti: Legacy of Resilience and Freedom
AFA 4900, Directed Readings
AFA 4905, Independent Study
AFA 4931, Selected Topics in Africana Studies
AFA 4936, Capstone in Africana Studies
AFA 4940, Internship in Africana Studies
AFH 3100, African History to 1850
AFH 3200, African History since 1850
AFR 1101, The Foundation of the United States Air Force Pt 1
AFR 1120, The Foundations of the United States Air Force Pt 2
AFR 2001, Air Force ROTC Leadership Laboratory
AFR 2130, Evolution of USAF Air and Space Power Part I
AFR 2140, Evolution of USAF Air and Space Power Part II
AFR 3220, Air Force Management and Leadership I
AFR 3231, Air Force Management and Leadership II
AFR 4201, National Security Affairs & Preparation for Active Duty I
AFR 4211, National Security Affairs & Preparation for Active Duty II
AFS 2250, Culture and Society in Africa
AFS 4910, Individual Research
AMH 2010, American History I
AMH 2020, American History II
AMH 2401, Segregation in the United States
AMH 3098, Race in America
AMH 3130, The American Revolutionary Era
AMH 3140, The Age of Jefferson
AMH 3160, The Age of Jackson
AMH 3170, The Civil War and Reconstruction
AMH 3201, The United States 1877-1914
AMH 3231, The United States 1914-1945
AMH 3270, The United States since 1945
AMH 3321, History of AIDS
AMH 3341, American Food and Drink History
AMH 3390, 19th Century America History
AMH 3402, Southern History 1607-1865
AMH 3421, Early Florida
AMH 3423, Modern Florida
AMH 3428, Doing Local History: Tampa Bay
AMH 3500, American Labor History
AMH 3512, U.S. Foreign Relations
AMH 3519, United States in the Middle East
AMH 3530, Immigration History
AMH 3533, The Irish in America
AMH 3561, American Women I
AMH 3562, American Women II
AMH 3571, African American History to 1865
AMH 3572, African American History since 1865
AMH 3630, American Environmental History
AMH 3674, American Slavery and Abolition
AML 3031, American Literature From the Beginnings to 1860
AML 3032, American Literature From 1860 to 1912
AML 3051, American Literature From 1912-1945
AML 3243, American Literature 1945 to the Present
AML 3604, African American Literature
AML 3630, U.S. Latino/Latina Literature in English
AML 3641, Native American Literature and Film
AML 3674, Asian American Literature and Film
AML 4111, Nineteenth-Century American Novel
AML 4121, Twentieth-Century American Novel
AML 4261, Literature of the South
AML 4300, Selected American Authors
AML 4931, American Literary Movements and Genres
AML 4933, Studies in American Literature and Culture
AMS 2030, Introduction to American Studies
AMS 2201, Colonial American Culture
AMS 2270, Twentieth-Century American Culture
AMS 3212, Nineteenth-Century American Culture
AMS 3302, Architecture and the American Environment
AMS 3601, Material Culture and American Society
AMS 3605, Working Class Culture in America
AMS 3700, Racism in American Society
AMS 3930, Selected Topics in American Studies
AMS 4305, Photography and American Society
AMS 4804, Major Ideas in America
AMS 4910, Individual Research
AMS 4930, Selected Topics in American Studies
AMS 4932, Topics in American Film
AMS 4935, Senior Seminar in American Studies
AMS 4936, American Studies Pro-Seminar
AMS 4940, Internship in American Studies
ANS 3006, Introduction to Animal Science
ANT 2000, Introduction to Anthropology
ANT 2410, Cultural Anthropology
ANT 2464, Global Health from a Social Science Perspective
ANT 2511, Biological Anthropology
ANT 2721, Anthropology of Urban Education in a Globalizing Age
ANT 3005, The Anthropological Perspective
ANT 3101, Archaeology
ANT 3610, Linguistic Anthropology
ANT 4012, Fantastic Archaeology
ANT 4034, Theories of Culture
ANT 4114, Seminar in Archaeological Method and Theory
ANT 4142, Old World Archaeology
ANT 4143, European Archaeology
ANT 4153, North American Archaeology
ANT 4158, Florida Archaeology
ANT 4163, Mesoamerican Archaeology
ANT 4165, South American Archaeology
ANT 4167, Maya Aztec and Inka Civilizations
ANT 4172, Historical Archaeology
ANT 4176, Archaeology of Africa
ANT 4178, The History & Archaeology of the African Diaspora
ANT 4180, Laboratory Methods in Archaeology
ANT 4181, Museum Methods
ANT 4185, Ancient Diets
ANT 4197, Archaeology of Death and Burial
ANT 4241, Anthropology of Religion
ANT 4243, The Middle East and North Africa
ANT 4260, Ancient Trade
ANT 4285, Oral History
ANT 4302, Gender in Cross-Cultural Perspective
ANT 4312, North American Indians
ANT 4340, The Caribbean
ANT 4352, Peoples of Africa
ANT 4390, Visual Anthropology
ANT 4401, Exploring Cross-Cultural Diversity
ANT 4403, Environmental Anthropology
ANT 4432, The Individual and Culture
ANT 4442, Urban Life and Culture
ANT 4445, Ancient Cities and Sustainability
ANT 4462, Health Illness and Culture
ANT 4465, Anthropology of Food
ANT 4467, Food Health and Culture
ANT 4468, Biocultural Bases of Health and Disease
ANT 4472, Work and Migration in the Americas
ANT 4475, Anthropology of Childhood
ANT 4495, Methods in Cultural Research
ANT 4516, Human Variation
ANT 4525, Human Osteology and Osteometry
ANT 4532, Anthropology of Infectious and Contagious Diseases
ANT 4536, Bioarchaeology
ANT 4586, Prehistoric Human Evolution
ANT 4593, Evolution and Health
ANT 4620, Language and Culture
ANT 4701, Applied Anthropology
ANT 4824, Archaeological Field Methods
ANT 4901, Directed Reading
ANT 4905, Individual Research
ANT 4930, Special Topics in Anthropology
ANT 4932, Honors Seminar
ANT 4935, Rethinking Anthropology
ANT 4940, Directed Internship Including Practicum
ANT 4970, Honors Thesis
APK 3110, Exercise Physiology I
APK 3120, Exercise Physiology
APK 4134, Exercise Physiology II
APK 4136, Exercise Prescription
ARA 1120, Modern Arabic I
